+-----------+-------+
| parameter | value |
+-----------+-------+
+-----------+-------+

+-----------------+------+------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------+
|       name      | bits |                                                             CM disc factorization                                                              |                       max conductor                        |
+-----------------+------+------------------------------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------+
|    secp112r2    | 110  |                                           [[2, 2], [23, 1], [136868773249316933932540663154861, 1]]                                            |                             2                              |
|    secp112r1    | 112  |                                               [[53, 1], [335609748422941168502097951017711, 1]]                                                |                             1                              |
|    secp128r2    | 126  |                                     [[2, 2], [23, 1], [47, 1], [231094644675543013163894869727583667, 1]]                                      |                             2                              |
|    secp128r1    | 128  |                                             [[181820798283126517, 1], [7090916806639485897559, 1]]                                             |                             1                              |
|       mnt1      | 156  |                                            [[19, 1], [47, 2], [4243, 2], [34679845268542624781, 2]]                                            |                 6915889423298038776451801                  |
|      bn158      | 158  |                                                 [[3, 1], [51329, 2], [8849442974123583107, 2]]                                                 |                  454233058418789397299203                  |
|      mnt2/1     | 159  |                                 [[5, 2], [7, 1], [13, 1], [109, 2], [2437, 2], [29888503, 2], [3806742241, 2]]                                 |                  151115727451828644755795                  |
|      mnt2/2     | 159  |                                 [[5, 2], [7, 1], [13, 1], [109, 2], [2437, 2], [29888503, 2], [3806742241, 2]]                                 |                  151115727451828644755795                  |
| brainpoolP160r1 | 160  |                  [[3, 2], [11, 2], [17, 1], [29, 1], [89, 1], [22067, 1], [577011261754261, 1], [8314894957527277176257, 1]]                   |                             33                             |
| brainpoolP160t1 | 160  |                  [[3, 2], [11, 2], [17, 1], [29, 1], [89, 1], [22067, 1], [577011261754261, 1], [8314894957527277176257, 1]]                   |                             33                             |
|      mnt3/1     | 160  |                                         [[5, 6], [7, 2], [139, 1], [11393, 2], [15158754368153743, 2]]                                         |                  151115727451828644749125                  |
|      mnt3/2     | 160  |                                         [[5, 6], [7, 2], [139, 1], [11393, 2], [15158754368153743, 2]]                                         |                  151115727451828644749125                  |
|      mnt3/3     | 160  |                                         [[5, 6], [7, 2], [139, 1], [11393, 2], [15158754368153743, 2]]                                         |                  151115727451828644749125                  |
|    secp160k1    | 161  |                                         [[3, 1], [7, 2], [26209, 2], [499425343, 2], [7741425869, 2]]                                          |                  709316441754974472566021                  |
|    secp160r1    | 161  |                                [[11, 1], [16570163, 1], [1369390889, 1], [1014815356399780783207486044131, 1]]                                 |                             1                              |
|    secp160r2    | 161  |                                    [[1747, 1], [2400413, 1], [1379050530132657947560169648571396848333, 1]]                                    |                             1                              |
|    sect163r1    | 162  |                                        [[903956396348856430721, 1], [48420307879096022005285284743, 1]]                                        |                             1                              |
